index,reason,year,transect
442,Year 2014 (40% below median visits),2014,hôtel des plaisirs
443,Year 2014 (40% below median visits),2014,hôtel des plaisirs
444,Year 2014 (40% below median visits),2014,hôtel des plaisirs
445,Year 2014 (40% below median visits),2014,hôtel des plaisirs
446,Year 2014 (40% below median visits),2014,hôtel des plaisirs
447,Year 2014 (40% below median visits),2014,hôtel des plaisirs
448,Year 2014 (40% below median visits),2014,hôtel des plaisirs
449,Year 2014 (40% below median visits),2014,hôtel des plaisirs
450,Year 2014 (40% below median visits),2014,hôtel des plaisirs
451,Year 2014 (40% below median visits),2014,hôtel des plaisirs
452,Year 2014 (40% below median visits),2014,hôtel des plaisirs
453,Year 2014 (40% below median visits),2014,hôtel des plaisirs
454,Year 2014 (40% below median visits),2014,hôtel des plaisirs
455,Year 2014 (40% below median visits),2014,hôtel des plaisirs
456,Year 2014 (40% below median visits),2014,hôtel des plaisirs
457,Year 2014 (40% below median visits),2014,hôtel des plaisirs
458,Year 2014 (40% below median visits),2014,hôtel des plaisirs
459,Year 2014 (40% below median visits),2014,hôtel des plaisirs
460,Year 2014 (40% below median visits),2014,hôtel des plaisirs
461,Year 2014 (40% below median visits),2014,hôtel des plaisirs
462,Year 2014 (40% below median visits),2014,hôtel des plaisirs
463,Year 2014 (40% below median visits),2014,hôtel des plaisirs
464,Year 2014 (40% below median visits),2014,hôtel des plaisirs
465,Year 2014 (40% below median visits),2014,hôtel des plaisirs
466,Year 2014 (40% below median visits),2014,hôtel des plaisirs
467,Year 2014 (40% below median visits),2014,hôtel des plaisirs
468,Year 2014 (40% below median visits),2014,hôtel des plaisirs
469,Year 2014 (40% below median visits),2014,hôtel des plaisirs
470,Year 2014 (40% below median visits),2014,hôtel des plaisirs
471,Year 2014 (40% below median visits),2014,hôtel des plaisirs
472,Year 2014 (40% below median visits),2014,hôtel des plaisirs
473,Year 2014 (40% below median visits),2014,hôtel des plaisirs
474,Year 2014 (40% below median visits),2014,hôtel des plaisirs
475,Year 2014 (40% below median visits),2014,hôtel des plaisirs
476,Year 2014 (40% below median visits),2014,hôtel des plaisirs
477,Year 2014 (40% below median visits),2014,hôtel des plaisirs
478,Year 2014 (40% below median visits),2014,hôtel des plaisirs
479,Year 2014 (40% below median visits),2014,hôtel des plaisirs
480,Year 2014 (40% below median visits),2014,hôtel des plaisirs
481,Year 2014 (40% below median visits),2014,hôtel des plaisirs
482,Year 2014 (40% below median visits),2014,hôtel des plaisirs
483,Year 2014 (40% below median visits),2014,hôtel des plaisirs
484,Year 2014 (40% below median visits),2014,hôtel des plaisirs
485,Year 2014 (40% below median visits),2014,hôtel des plaisirs
486,Year 2014 (40% below median visits),2014,hôtel des plaisirs
487,Year 2014 (40% below median visits),2014,hôtel des plaisirs
488,Year 2014 (40% below median visits),2014,hôtel des plaisirs
489,Year 2014 (40% below median visits),2014,hôtel des plaisirs
490,Year 2014 (40% below median visits),2014,hôtel des plaisirs
491,Year 2014 (40% below median visits),2014,hôtel des plaisirs
492,Year 2014 (40% below median visits),2014,hôtel des plaisirs
493,Year 2014 (40% below median visits),2014,hôtel des plaisirs
494,Year 2014 (40% below median visits),2014,hôtel des plaisirs
495,Year 2014 (40% below median visits),2014,hôtel des plaisirs
496,Year 2014 (40% below median visits),2014,hôtel des plaisirs
497,Year 2014 (40% below median visits),2014,hôtel des plaisirs
498,Year 2014 (40% below median visits),2014,hôtel des plaisirs
499,Year 2014 (40% below median visits),2014,hôtel des plaisirs
500,Year 2014 (40% below median visits),2014,hôtel des plaisirs
501,Year 2014 (40% below median visits),2014,hôtel des plaisirs
502,Year 2014 (40% below median visits),2014,hôtel des plaisirs
503,Year 2014 (40% below median visits),2014,hôtel des plaisirs
504,Year 2014 (40% below median visits),2014,hôtel des plaisirs
505,Year 2014 (40% below median visits),2014,hôtel des plaisirs
506,Year 2014 (40% below median visits),2014,hôtel des plaisirs
507,Year 2014 (40% below median visits),2014,hôtel des plaisirs
508,Year 2014 (40% below median visits),2014,hôtel des plaisirs
509,Year 2014 (40% below median visits),2014,hôtel des plaisirs
510,Year 2014 (40% below median visits),2014,hôtel des plaisirs
511,Year 2014 (40% below median visits),2014,hôtel des plaisirs
512,Year 2014 (40% below median visits),2014,hôtel des plaisirs
513,Year 2014 (40% below median visits),2014,hôtel des plaisirs
